pair_id,a_id,a_stance,a_text,b_id,b_stance,b_text,label,note
pro82b__pro29,pro82b,pro,Plans are well in hand for eventual disposal,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,none,
pro82b__pro29b,pro82b,pro,Plans are well in hand for eventual disposal,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,none,
pro82b__con36,pro82b,pro,Plans are well in hand for eventual disposal,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",both,direct contradiction. plans well in hand vs disposal being an unresolved problem
pro82b__con27,pro82b,pro,Plans are well in hand for eventual disposal,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
pro82b__con27b,pro82b,pro,Plans are well in hand for eventual disposal,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,
pro82b__con27c,pro82b,pro,Plans are well in hand for eventual disposal,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,"Related, but no direct attack: both claims concern waste/pollution in the nuclear fuel cycle, but A addresses eventual disposal of nuclear waste/spent fuel, con27c addresses environmental waste and greenhouse gases from uranium sourcing and processing."
pro82b__con140,pro82b,pro,Plans are well in hand for eventual disposal,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro82b__con140b,pro82b,pro,Plans are well in hand for eventual disposal,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro82b__con23,pro82b,pro,Plans are well in hand for eventual disposal,con23,con,Building a plant with 100% security is technically impossible.,none,
pro82b__con152,pro82b,pro,Plans are well in hand for eventual disposal,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
pro82b__con109,pro82b,pro,Plans are well in hand for eventual disposal,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
pro82b__con109b,pro82b,pro,Plans are well in hand for eventual disposal,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
pro82b__con9,pro82b,pro,Plans are well in hand for eventual disposal,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
pro82b__con9b,pro82b,pro,Plans are well in hand for eventual disposal,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none, 
pro15a__pro95,pro15a,pro,Civil waste and spent fuel storage is robust.,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,none,
pro15a__pro36,pro15a,pro,Civil waste and spent fuel storage is robust.,pro36,pro,"If external costs are accounted, nuclear is very competitive.",none,
pro15a__pro32,pro15a,pro,Civil waste and spent fuel storage is robust.,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",none,
pro15a__pro29,pro15a,pro,Civil waste and spent fuel storage is robust.,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,none,
pro15a__pro29b,pro15a,pro,Civil waste and spent fuel storage is robust.,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,none,
pro15a__con36,pro15a,pro,Civil waste and spent fuel storage is robust.,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",both,"direct contradiction, analogous to pro82__con36. robust storage vs unresolved waste problem"
pro15a__con27,pro15a,pro,Civil waste and spent fuel storage is robust.,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
pro15a__con27b,pro15a,pro,Civil waste and spent fuel storage is robust.,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,
pro15a__con27c,pro15a,pro,Civil waste and spent fuel storage is robust.,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,
pro15a__con140,pro15a,pro,Civil waste and spent fuel storage is robust.,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro15a__con140b,pro15a,pro,Civil waste and spent fuel storage is robust.,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro15a__con23,pro15a,pro,Civil waste and spent fuel storage is robust.,con23,con,Building a plant with 100% security is technically impossible.,none,"strict object reading. B is about building a plant, A about waste storage, consistent with pro82__con23"
pro15a__con152,pro15a,pro,Civil waste and spent fuel storage is robust.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
pro15a__con109,pro15a,pro,Civil waste and spent fuel storage is robust.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
pro15a__con109b,pro15a,pro,Civil waste and spent fuel storage is robust.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
pro15a__con9,pro15a,pro,Civil waste and spent fuel storage is robust.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,"strict object reading. storage vs power plants, consistent with pro82__con9"
pro15a__con9b,pro15a,pro,Civil waste and spent fuel storage is robust.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,b_attacks_a,"B undercuts the security of waste storage"
pro15b__pro95,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,none,
pro15b__pro36,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,pro36,pro,"If external costs are accounted, nuclear is very competitive.",none,
pro15b__pro32,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",none,
pro15b__pro29,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,none,
pro15b__pro29b,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,none,
pro15b__con36,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",none, "A is descriptive -> no attacks"
pro15b__con27,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
pro15b__con27b,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,
pro15b__con27c,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,
pro15b__con140,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro15b__con140b,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro15b__con23,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con23,con,Building a plant with 100% security is technically impossible.,none,
pro15b__con152,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
pro15b__con109,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
pro15b__con109b,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
pro15b__con9,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
pro15b__con9b,pro15b,pro,Civil waste and spent fuel storage is often below ground level.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
pro95__pro36,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,pro36,pro,"If external costs are accounted, nuclear is very competitive.",none,
pro95__pro32,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",none,
pro95__pro29,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,none,
pro95__pro29b,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,none,
pro95__con36,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",none,
pro95__con27,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
pro95__con27b,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,
pro95__con27c,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,
pro95__con140,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro95__con140b,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro95__con23,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con23,con,Building a plant with 100% security is technically impossible.,none,
pro95__con152,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
pro95__con109,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
pro95__con109b,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
pro95__con9,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
pro95__con9b,pro95,pro,Low levels of radiation comparable to those received naturally in some places are not harmful.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
pro36__pro32,pro36,pro,"If external costs are accounted, nuclear is very competitive.",pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",none,
pro36__pro29,pro36,pro,"If external costs are accounted, nuclear is very competitive.",pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,none,
pro36__pro29b,pro36,pro,"If external costs are accounted, nuclear is very competitive.",pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,none,
pro36__con36,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",none,
pro36__con27,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
pro36__con27b,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,expensive fuel inputs and overall competitiveness can both hold
pro36__con27c,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",b_attacks_a,"B undermines A's premise that external-cost accounting supports nuclear’s competitiveness by pointing to considerable environmental waste, including greenhouse gases."
pro36__con140,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro36__con140b,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro36__con23,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con23,con,Building a plant with 100% security is technically impossible.,none,
pro36__con152,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con152,con,One of the biggest issues is environmental impact in relation to uranium.,b_attacks_a,"B asserts a environmental externality of uranium, undermining the external-cost premise, consistent with con27c"
pro36__con109,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",b_attacks_a,"B's cost evidence undermines the competitiveness claim"
pro36__con109b,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",both,conclusions directly contradict. alternatives more cost-effective vs nuclear very competitive
pro36__con9,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
pro36__con9b,pro36,pro,"If external costs are accounted, nuclear is very competitive.",con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
pro32__pro29,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,none,
pro32__pro29b,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,none,
pro32__con36,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",none,
pro32__con27,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
pro32__con27b,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,
pro32__con27c,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,
pro32__con140,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro32__con140b,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro32__con23,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con23,con,Building a plant with 100% security is technically impossible.,none,
pro32__con152,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
pro32__con109,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
pro32__con109b,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
pro32__con9,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
pro32__con9b,pro32,pro,"Also, if we know how to control atomic fusion, the same reactions that fuel the sun, we can have almost unlimited energy.",con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
pro29__con36,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",none,
pro29__con27,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
pro29__con27b,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,expensive fuel inputs and overall cheapness can both hold
pro29__con27c,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,
pro29__con140,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro29__con140b,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro29__con23,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con23,con,Building a plant with 100% security is technically impossible.,none,
pro29__con152,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
pro29__con109,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",b_attacks_a,"B's cost evidence undermines the cheapness claim, A does not rebut B's figures"
pro29__con109b,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",both,conclusions directly contradict. alternatives yield more per buck vs nuclear much cheaper
pro29__con9,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
pro29__con9b,pro29,pro,Nuclear is much cheaper than wind or photovoltaic systems.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
pro29b__con36,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",none,
pro29b__con27,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
pro29b__con27b,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,
pro29b__con27c,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,
pro29b__con140,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
pro29b__con140b,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
pro29b__con23,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con23,con,Building a plant with 100% security is technically impossible.,none,
pro29b__con152,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
pro29b__con109,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
pro29b__con109b,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,renewables being costly and alternatives beating nuclear per buck can both be true
pro29b__con9,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
pro29b__con9b,pro29b,pro,Society must bear the high costs of wind and solar for the sake of the environment.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con36__con27,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,none,
con36__con27b,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con27b,con,"Uranium sources are expensive to mine, refine, and transport.",none,
con36__con27c,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",none,
con36__con140,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
con36__con140b,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
con36__con23,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con23,con,Building a plant with 100% security is technically impossible.,none,
con36__con152,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
con36__con109,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
con36__con109b,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
con36__con9,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con36__con9b,con36,con,"Nuclear wastes (as, or in, spent fuel) are an unresolved problem.",con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con27__con140,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
con27__con140b,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
con27__con23,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,con23,con,Building a plant with 100% security is technically impossible.,none,
con27__con152,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
con27__con109,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
con27__con109b,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
con27__con9,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con27__con9b,con27,con,Uranium sources are just as finite as other fuel sources such as coal and natural gas.,con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con27b__con140,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
con27b__con140b,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
con27b__con23,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",con23,con,Building a plant with 100% security is technically impossible.,none,
con27b__con152,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
con27b__con109,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
con27b__con109b,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",con109b,con,"Alternative methods would yield much more climate‑saving bang for our buck than nuclear power, according to some analysts.",none,
con27b__con9,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",con9,con,Nuclear power plants could be preferred targets for terrorist attacks.,none,
con27b__con9b,con27b,con,"Uranium sources are expensive to mine, refine, and transport.",con9b,con,Nuclear waste could be preferred targets for terrorist attacks.,none,
con27c__con140,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",con140,con,Cooling nuclear power plant operations often requires a whole lot of water.,none,
con27c__con140b,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",con140b,con,The drawing and releasing of large amounts of water for cooling can affect aquatic wildlife.,none,
con27c__con23,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",con23,con,Building a plant with 100% security is technically impossible.,none,
con27c__con152,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",con152,con,One of the biggest issues is environmental impact in relation to uranium.,none,
con27c__con109,con27c,con,"Uranium sources produce considerable environmental waste, including greenhouse gases, during all of these processes.",con109,con,"Recent price estimates for a large nuclear plant in Florida are $12 billion to $18 billion, and the nuclear industry has a history of 250 percent cost overruns.",none,
